game_id,league,away_team_id,home_team_id,away_team_box_score,home_team_box_score,stadium,location,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date
401570533,MLB,det,sd,,,Petco Park,"San Diego, California",,,,40222,,,,,,,,,,,,,,,,6:40 PM,"September 2, 2024"
401570536,MLB,min,tb,,,Tropicana Field,"St. Petersburg, Florida",,,,25025,,,,,,,,,,,,,,,,6:50 PM,"September 2, 2024"
401570539,MLB,sea,oak,,,Oakland Coliseum,"Oakland, California",,,,46847,,,,,,,,,,,,,,,,7:07 PM,"September 2, 2024"
401570530,MLB,bos,nym,,,Citi Field,"Queens, New York",,,,42136,,,,,,,,,,,,,,,,7:10 PM,"September 2, 2024"
401570538,MLB,pit,chc,,,Wrigley Field,"Chicago, Illinois",,,,41363,,,,,,,,,,,,,,,,7:40 PM,"September 2, 2024"
401570537,MLB,nyy,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,8:05 PM,"September 2, 2024"
401570543,MLB,chw,bal,,,Oriole Park at Camden Yards,"Baltimore, Maryland",,,,45971,,,,,,,,,,,,,,,,6:35 PM,"September 3, 2024"
401570553,MLB,wsh,mia,,,loanDepot park,"Miami, Florida",,,,37446,,,,,,,,,,,,,,,,6:40 PM,"September 3, 2024"
401570547,MLB,min,tb,,,Tropicana Field,"St. Petersburg, Florida",,,,25025,,,,,,,,,,,,,,,,6:50 PM,"September 3, 2024"
401570549,MLB,phi,tor,,,Rogers Centre,"Toronto, Ontario",,,,49282,,,,,,,,,,,,,,,,7:07 PM,"September 3, 2024"
401570542,MLB,bos,nym,,,Citi Field,"Queens, New York",,,,42136,,,,,,,,,,,,,,,,7:10 PM,"September 3, 2024"
401570545,MLB,col,atl,,,Truist Park,"Atlanta, Georgia",,,,41149,,,,,,,,,,,,,,,,7:20 PM,"September 3, 2024"
401570544,MLB,cle,kc,,,Kauffman Stadium,"Kansas City, Missouri",,,,38427,,,,,,,,,,,,,,,,7:40 PM,"September 3, 2024"
401570550,MLB,pit,chc,,,Wrigley Field,"Chicago, Illinois",,,,41363,,,,,,,,,,,,,,,,7:40 PM,"September 3, 2024"
401570552,MLB,stl,mil,,,American Family Field,"Milwaukee, Wisconsin",,,,41700,,,,,,,,,,,,,,,,7:40 PM,"September 3, 2024"
401570548,MLB,nyy,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,8:05 PM,"September 3, 2024"
401570546,MLB,lad,laa,,,Angel Stadium,"Anaheim, California",,,,45517,,,,,,,,,,,,,,,,9:38 PM,"September 3, 2024"
401570551,MLB,sea,oak,,,Oakland Coliseum,"Oakland, California",,,,46847,,,,,,,,,,,,,,,,9:40 PM,"September 3, 2024"
401570541,MLB,ari,sf,,,Oracle Park,"San Francisco, California",,,,41915,,,,,,,,,,,,,,,,9:45 PM,"September 3, 2024"
401570564,MLB,phi,tor,,,Rogers Centre,"Toronto, Ontario",,,,49282,,,,,,,,,,,,,,,,3:07 PM,"September 4, 2024"
401570556,MLB,chw,bal,,,Oriole Park at Camden Yards,"Baltimore, Maryland",,,,45971,,,,,,,,,,,,,,,,6:35 PM,"September 4, 2024"
401570560,MLB,hou,cin,,,Great American Ball Park,"Cincinnati, Ohio",,,,43891,,,,,,,,,,,,,,,,6:40 PM,"September 4, 2024"
401570568,MLB,wsh,mia,,,loanDepot park,"Miami, Florida",,,,37446,,,,,,,,,,,,,,,,6:40 PM,"September 4, 2024"
401570562,MLB,min,tb,,,Tropicana Field,"St. Petersburg, Florida",,,,25025,,,,,,,,,,,,,,,,6:50 PM,"September 4, 2024"
401570555,MLB,bos,nym,,,Citi Field,"Queens, New York",,,,42136,,,,,,,,,,,,,,,,7:10 PM,"September 4, 2024"
401570558,MLB,col,atl,,,Truist Park,"Atlanta, Georgia",,,,41149,,,,,,,,,,,,,,,,7:20 PM,"September 4, 2024"
401570557,MLB,cle,kc,,,Kauffman Stadium,"Kansas City, Missouri",,,,38427,,,,,,,,,,,,,,,,7:40 PM,"September 4, 2024"
401570565,MLB,pit,chc,,,Wrigley Field,"Chicago, Illinois",,,,41363,,,,,,,,,,,,,,,,7:40 PM,"September 4, 2024"
401570567,MLB,stl,mil,,,American Family Field,"Milwaukee, Wisconsin",,,,41700,,,,,,,,,,,,,,,,7:40 PM,"September 4, 2024"
401570563,MLB,nyy,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,8:05 PM,"September 4, 2024"
401570561,MLB,lad,laa,,,Angel Stadium,"Anaheim, California",,,,45517,,,,,,,,,,,,,,,,9:38 PM,"September 4, 2024"
401570559,MLB,det,sd,,,Petco Park,"San Diego, California",,,,40222,,,,,,,,,,,,,,,,9:40 PM,"September 4, 2024"
401570566,MLB,sea,oak,,,Oakland Coliseum,"Oakland, California",,,,46847,,,,,,,,,,,,,,,,9:40 PM,"September 4, 2024"
401570554,MLB,ari,sf,,,Oracle Park,"San Francisco, California",,,,41915,,,,,,,,,,,,,,,,9:45 PM,"September 4, 2024"
401570573,MLB,hou,cin,,,Great American Ball Park,"Cincinnati, Ohio",,,,43891,,,,,,,,,,,,,,,,1:10 PM,"September 5, 2024"
401570574,MLB,min,tb,,,Tropicana Field,"St. Petersburg, Florida",,,,25025,,,,,,,,,,,,,,,,1:10 PM,"September 5, 2024"
401570576,MLB,sea,oak,,,Oakland Coliseum,"Oakland, California",,,,46847,,,,,,,,,,,,,,,,3:37 PM,"September 5, 2024"
401570570,MLB,ari,sf,,,Oracle Park,"San Francisco, California",,,,41915,,,,,,,,,,,,,,,,3:45 PM,"September 5, 2024"
401570575,MLB,phi,mia,,,loanDepot park,"Miami, Florida",,,,37446,,,,,,,,,,,,,,,,6:40 PM,"September 5, 2024"
401570577,MLB,wsh,pit,,,PNC Park,"Pittsburgh, Pennsylvania",,,,38753,,,,,,,,,,,,,,,,6:40 PM,"September 5, 2024"
401570571,MLB,col,atl,,,Truist Park,"Atlanta, Georgia",,,,41149,,,,,,,,,,,,,,,,7:20 PM,"September 5, 2024"
401570569,MLB,laa,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,8:05 PM,"September 5, 2024"
401570572,MLB,det,sd,,,Petco Park,"San Diego, California",,,,40222,,,,,,,,,,,,,,,,8:40 PM,"September 5, 2024"
