team_id,league,name,mascot,logo_url,conference_name,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
13,CFB,Cal Poly,Mustangs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/13.png,Big Sky,0.0,0.0,0.0,0.0,0.0,0.0
276,CFB,Marshall,Thundering Herd,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0
258,CFB,Virginia,Cavaliers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
333,CFB,Alabama,Crimson Tide,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
5,CFB,UAB,Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png,American,0.0,0.0,0.0,0.0,0.0,0.0
167,CFB,New Mexico,Lobos,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png,Mountain West,0.0,0.0,0.0,0.0,0.0,0.0
245,CFB,Texas A&M,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
145,CFB,Ole Miss,Rebels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
2649,CFB,Toledo,Rockets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0
2655,CFB,Tulane,Green Wave,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png,American,0.0,0.0,0.0,0.0,0.0,0.0
2636,CFB,UTSA,Roadrunners,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2636.png,American,0.0,0.0,0.0,0.0,0.0,0.0
238,CFB,Vanderbilt,Commodores,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
2117,CFB,Central Michigan,Chippewas,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2117.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0
84,CFB,Indiana,Hoosiers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0
2653,CFB,Troy,Trojans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0
120,CFB,Maryland,Terrapins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0
2032,CFB,Arkansas State,Red Wolves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2032.png,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0
309,CFB,Louisiana,Ragin' Cajuns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0
