name,mascot,logo_url,conference_name,team_id,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
Central Michigan,Chippewas,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2117.png,MAC,2117,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,Hoosiers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png,Big Ten,84,0.0,0.0,0.0,0.0,0.0,0.0
Troy,Trojans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png,Sun Belt,2653,0.0,0.0,0.0,0.0,0.0,0.0
Maryland,Terrapins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png,Big Ten,120,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas State,Red Wolves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2032.png,Sun Belt,2032,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana,Ragin' Cajuns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png,Sun Belt,309,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,Wolf Pack,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2440.png,Mountain West,2440,0.0,0.0,0.0,0.0,0.0,0.0
Northern Iowa,Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2460.png,MVFC,2460,0.0,0.0,0.0,0.0,0.0,0.0
Washington,Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/264.png,Pac-12,264,0.0,0.0,0.0,0.0,0.0,0.0
San Diego State,Aztecs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/21.png,Mountain West,21,0.0,0.0,0.0,0.0,0.0,0.0
Memphis,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png,American,235,0.0,0.0,0.0,0.0,0.0,0.0
VMI,Keydets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2678.png,Southern,2678,0.0,0.0,0.0,0.0,0.0,0.0
Ball State,Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2050.png,MAC,2050,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina Central,Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2428.png,MEAC,2428,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Tech,Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2348.png,CUSA,2348,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia,Mountaineers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png,Big 12,277,0.0,0.0,0.0,0.0,0.0,0.0
Stanford,Cardinal,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png,Pac-12,24,0.0,0.0,0.0,0.0,0.0,0.0
