away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id,away_team_id,home_team_id,away_team_box_score,home_team_box_score
,,,,Jonah Field at War Memorial Stadium,"Laramie, WY ",,,,,"Capacity: 29,181","Attendance: 26,450",,,401525825,2641,2751,"{'1': '17', '2': '0', '3': '0', '4': '3', 'total': '13'}","{'1': '0', '2': '10', '3': '7', '4': '3', 'total': '15'}"
,,,,Aggie Memorial Stadium,"Las Cruces, NM ",,,,,"Capacity: 28,853","Attendance: 17,943",,,401520166,2710,166,"{'1': '0', '2': '14', '3': '7', '4': '0', 'total': '21'}","{'1': '6', '2': '14', '3': '17', '4': '21', 'total': '58'}"
,,,,Sun Bowl,"El Paso, TX ",,,,,"Capacity: 45,971","Attendance: 30,738",,,401520177,2916,2638,"{'1': '7', '2': '7', '3': '0', '4': '0', 'total': '14'}","{'1': '7', '2': '7', '3': '7', '4': '7', 'total': '28'}"
,,,,Arizona Stadium,"Tucson, AZ ",,,,,"Capacity: 50,782","Attendance: 48,159",,,401523989,2464,12,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '7', '2': '7', '3': '21', '4': '3', 'total': '38'}"
,,,,LaVell Edwards Stadium,"Provo, UT ",,,,,"Capacity: 63,470","Attendance: 59,006",,,401520152,2534,252,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}"
,,,,Rose Bowl,"Pasadena, CA ",,,,,"Capacity: 88,565","Attendance: 43,705",,,401523995,324,26,"{'1': '0', '2': '6', '3': '7', '4': '0', 'total': '13'}","{'1': '7', '2': '7', '3': '0', '4': '13', 'total': '27'}"
,,,,Snapdragon Stadium,"San Diego, CA ",,,,,"Capacity: 35,000","Attendance: 22,345",,,401532571,304,21,"{'1': '3', '2': '10', '3': '0', '4': '15', 'total': '28'}","{'1': '10', '2': '10', '3': '9', '4': '7', 'total': '36'}"
,,,,,"Orlando, FL ",,,,,"Capacity: 65,000","Attendance: 65,429",,,401520182,99,52,"{'1': '7', '2': '10', '3': '0', '4': '7', 'total': '24'}","{'1': '7', '2': '7', '3': '10', '4': '21', 'total': '45'}"
,,,,CEFCU Stadium,"San Jose, CA ",,,,,"Capacity: 30,456","Attendance: 20,337",,,401532573,204,23,"{'1': '7', '2': '14', '3': '7', '4': '14', 'total': '42'}","{'1': '0', '2': '3', '3': '0', '4': '14', 'total': '17'}"
,,,,SHI Stadium,"Piscataway, NJ ",,,,,"Capacity: 52,454","Attendance: 53,026",,,401520171,77,164,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '7', '2': '10', '3': '7', '4': '0', 'total': '24'}"
,,,,Wallace Wade Stadium,"Durham, NC ",,,,,"Capacity: 40,004","Attendance: 31,638",,,401525468,228,150,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '3', '2': '3', '3': '7', '4': '15', 'total': '28'}"
